url,file size,No of out links,Content-type
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport24-nov2013.pdf,1898788,0,application/pdf
http://www.keck.usc.edu/uscs-arthur-toga-joined-by-still-alice-author-lisa-genova-for-visions-voices-event/,152293,149,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport13-dec2010.jpg,32544,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport27-jul2014.pdf,746515,0,application/pdf
http://www.keck.usc.edu/training-robotic-surgeons-worldwide/,151826,151,text/html; charset=UTF-8
http://www.keck.usc.edu/stroke-patient-recovers-from-severe-brain-aneurysm-to-run-la-marathon-alongside-treatment-team/,152015,149,text/html; charset=UTF-8
http://www.keck.usc.edu/keck-events/,157576,111,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/ophthalmology/,158385,102,text/html; charset=UTF-8
http://www.keck.usc.edu/about-us/mission-vision/,143109,98,text/html; charset=UTF-8
http://www.keck.usc.edu/2015/05/,151798,93,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/cell-and-neurobiology/,135382,80,text/html; charset=UTF-8
http://www.keck.usc.edu/education/md-program/,151803,117,text/html; charset=UTF-8
http://www.keck.usc.edu/advancing-alzheimers-treatment-options-through-collaboration,152798,152,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/themes/Avada-Child-Theme/style.css?ver=4.3.2,41521,0,text/css
http://www.keck.usc.edu/category/news/ctsi/,129032,73,text/html; charset=UTF-8
http://www.keck.usc.edu/about-us/visiting-keck-school-of-medicine/campus-services/,143328,106,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/zilkha/,158632,99,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2015/06/Paul-Aisen2.jpg,232908,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/2015/12/microsurgery-marquee1.jpg,521631,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/2015/04/deansreport29-apr2015.jpg,71224,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport18-dec2011.pdf,631901,0,application/pdf
http://www.keck.usc.edu/expanding-the-mind/,160593,157,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/administrative/,158829,95,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport08-oct2009.jpg,31981,0,image/jpeg
http://www.keck.usc.edu/about-us/deans-corner/feed/,780,0,application/rss+xml; charset=UTF-8
http://www.keck.usc.edu/wp-content/plugins/google-custom-search/css/smoothness/jquery-ui.theme.min.css?ver=4.3.2,13791,1,text/css
http://www.keck.usc.edu/events/toxic-stress-resilience-and-development/,139663,95,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/stem-cell/,157457,96,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/alzheimers-therapeutic-research-institute/,133605,76,text/html; charset=UTF-8
http://www.keck.usc.edu/request-for-proposals-broad-clinical-research-fellows/,149099,151,text/html; charset=UTF-8
http://www.keck.usc.edu/keck-school-news-events/,156271,101,text/html; charset=UTF-8
http://www.keck.usc.edu/category/events/,138823,81,text/html; charset=UTF-8
http://www.keck.usc.edu/2014/12/,139073,79,text/html; charset=UTF-8
http://www.keck.usc.edu/research/,153036,106,text/html; charset=UTF-8
http://www.keck.usc.edu/category/featured/feed/,78250,0,application/rss+xml; charset=UTF-8
http://www.keck.usc.edu/events/usc-advanced-endoscopic-sinus-surgery-course/,138502,92,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2015/10/shane.jpg,59958,0,image/jpeg
http://www.keck.usc.edu/2015/06/,155767,94,text/html; charset=UTF-8
http://www.keck.usc.edu/category/keck-research-quarterly/,132252,75,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/revslider/home-scroller/scroller4-sunbeam.jpg,112349,0,image/jpeg
http://www.keck.usc.edu/doctor-professor-found-calling-at-age-17/,150600,149,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport15-jun2011.pdf,704808,0,application/pdf
http://www.keck.usc.edu/wp-content/uploads/2016/01/stemcell.jpg,152686,0,image/jpeg
http://www.keck.usc.edu/category/news/neurosurgery/,132845,74,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport14-feb2011.pdf,757120,0,application/pdf
http://www.keck.usc.edu/contact-us/,132394,69,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2016/02/Schaff-web-180x138.jpg,23530,0,image/jpeg
http://www.keck.usc.edu/category/news/neurology/,149848,95,text/html; charset=UTF-8
http://www.keck.usc.edu/giving/,132346,75,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/plugins/wp-google-search/wgs.css?ver=4.3.2,2272,0,text/css
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport04-dec2008.pdf,305420,0,application/pdf
http://www.keck.usc.edu/news/keck-school-ranks-31st-in-research-in-u-s-news-world-reports-2016-best-graduate-schools-rankings/,152615,150,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport02-jun2008.pdf,462192,0,application/pdf
http://www.keck.usc.edu/2015/10/,157342,99,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/themes/Avada/style.css?ver=4.3.2,400293,4,text/css
http://www.keck.usc.edu/news/keck-school-of-medicine-of-usc-establishes-usc-alzheimers-therapeutic-research-institute/,151586,156,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2014/12/Carmen_Puliafito.jpg,79712,0,image/jpeg
http://www.keck.usc.edu/category/news/pediatrics/,157334,94,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/urology/,142989,88,text/html; charset=UTF-8
http://www.keck.usc.edu/about-us/keck-school-history/,171870,92,text/html; charset=UTF-8
http://www.keck.usc.edu/education/md-program/student-affairs/,152067,120,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport04-dec2008.jpg,37646,0,image/jpeg
http://keck.usc.edu/en/About/Administrative_Offices/Office_of_Alumni_Affairs.aspx,67408,200,text/html; charset=utf-8
http://www.keck.usc.edu/about-us/leadership/faculty-council/member-contact-information/,140739,91,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/education/,141191,80,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/plugins/widgets-on-pages/wop.css,80,0,text/css
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport10-may2010.jpg,35034,0,image/jpeg
http://www.keck.usc.edu/wp-content/themes/Avada/css/animations.css?ver=4.3.2,33160,0,text/css
http://www.keck.usc.edu/zilkha-neurogenetic-institute-researchers-paper-selected-as-best-of-2015/,149158,152,text/html; charset=UTF-8
http://www.keck.usc.edu/2016/02/,158721,98,text/html; charset=UTF-8
http://www.keck.usc.edu/privacy-policy/,134184,67,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport27-jul2014.jpg,28936,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/2015/04/deansreport28-dec2014.pdf,669975,0,application/pdf
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport18-dec2011.jpg,35229,0,image/jpeg
http://www.keck.usc.edu/category/news/translational-genomics/,132187,73,text/html; charset=UTF-8
http://www.keck.usc.edu/category/featured-people/,132194,75,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport12-aug2010.jpg,36678,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/revslider/landing-patients/Patients-slider2.jpg,63822,0,image/jpeg
http://www.keck.usc.edu/about-us/departments-institutes/clinical-departments/,151057,110,text/html; charset=UTF-8
http://www.keck.usc.edu/xmlrpc.php?rsd,733,2,text/xml; charset=UTF-8
http://www.keck.usc.edu/category/news/family-medicine/,135822,77,text/html; charset=UTF-8
http://www.keck.usc.edu/patients/feed/,1661,0,application/rss+xml; charset=UTF-8
http://www.keck.usc.edu/about-us/departments-institutes/,148587,107,text/html; charset=UTF-8
http://www.keck.usc.edu/news/conjoined-twins-in-haiti-separated-by-team-of-keck-and-chla-surgeons/,157372,151,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/revslider/landing-patients/Patients-Slider1.jpg,61024,0,image/jpeg
http://www.keck.usc.edu/about-us/distinguished-activities/,134958,92,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/family-medicine/physician-assistant-program/,129627,71,text/html; charset=UTF-8
http://www.keck.usc.edu/about-us/departments-institutes/institutes/feed/,792,0,application/rss+xml; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2015/10/AlzKsom.jpg,71312,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport07-jul2009.jpg,37709,0,image/jpeg
http://www.keck.usc.edu/2015/01/,150367,86,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2016/02/Stroke-Patient-1-web-180x138.jpg,52904,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/2015/11/Paul-Aisen.jpg,84492,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/2015/12/Carpten-300x224.jpg,73054,0,image/jpeg
http://www.keck.usc.edu/category/news/preventive-medicine/,159372,93,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2016/02/CaseCompetitionWinningTeam-web-180x138.jpg,37312,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport01-feb2008.pdf,640019,0,application/pdf
http://www.keck.usc.edu/wp-content/uploads/2014/12/home-page-main1.jpg,279947,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport21-dec2012.pdf,841577,0,application/pdf
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport11-aug2010.jpg,33447,0,image/jpeg
http://www.keck.usc.edu/category/news/,159096,99,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/obstetrics-and-gynecology/,129057,69,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2015/12/john-carpten-marquee.jpg,930189,0,image/jpeg
http://www.keck.usc.edu/broadcenter/,144033,97,text/html; charset=UTF-8
http://www.keck.usc.edu/news/class-of-2015-commencement/,165836,213,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/themes/Avada/css/media.css?ver=4.3.2,39211,0,text/css
http://www.keck.usc.edu/2015/09/,161283,98,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/research-news/,160810,97,text/html; charset=UTF-8
http://www.keck.usc.edu/about-us/,148866,99,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport12-aug2010.pdf,735327,0,application/pdf
http://www.keck.usc.edu/category/news/pathology/,135069,79,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport06-mar2009.pdf,1006120,0,application/pdf
http://www.keck.usc.edu/research/research-training-education/research-compliance-training/,137352,99,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2016/02/Aisen-1-web.jpg,41965,0,image/jpeg
http://www.keck.usc.edu/category/news/psychiatry/,129317,76,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2015/04/deansreport28-dec2014.jpg,67576,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport01-feb2008.jpg,38174,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport19-mar2012.jpg,31038,0,image/jpeg
