url,statuscode
http://www.keck.usc.edu/wp-content/uploads/2015/06/Paul-Aisen2.jpg,200
http://www.keck.usc.edu/category/news/administrative/,200
http://www.keck.usc.edu/wp-content/uploads/2015/04/deansreport29-apr2015.jpg,200
http://www.keck.usc.edu/events/toxic-stress-resilience-and-development/,200
http://www.keck.usc.edu/category/news/stem-cell/,200
http://www.keck.usc.edu/request-for-proposals-broad-clinical-research-fellows/,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport08-oct2009.jpg,200
http://www.keck.usc.edu/wp-content/plugins/google-custom-search/css/smoothness/jquery-ui.theme.min.css?ver=4.3.2,200
http://www.keck.usc.edu/about-us/deans-corner/feed/,200
http://www.keck.usc.edu/category/news/alzheimers-therapeutic-research-institute/,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport14-feb2011.pdf,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport15-jun2011.pdf,200
http://www.keck.usc.edu/keck-school-news-events/,200
http://www.keck.usc.edu/category/events/,200
http://www.keck.usc.edu/research/,200
http://www.keck.usc.edu/2014/12/,200
http://www.keck.usc.edu/events/usc-advanced-endoscopic-sinus-surgery-course/,200
http://www.keck.usc.edu/category/featured/feed/,200
http://www.keck.usc.edu/2015/06/,200
http://www.keck.usc.edu/doctor-professor-found-calling-at-age-17/,200
http://www.keck.usc.edu/wp-content/uploads/2015/10/shane.jpg,200
http://www.keck.usc.edu/category/keck-research-quarterly/,200
http://www.keck.usc.edu/wp-content/uploads/revslider/home-scroller/scroller4-sunbeam.jpg,200
http://www.keck.usc.edu/wp-content/uploads/2016/01/stemcell.jpg,200
http://www.keck.usc.edu/category/news/neurosurgery/,200
http://www.keck.usc.edu/contact-us/,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport04-dec2008.pdf,200
http://www.keck.usc.edu/category/news/neurology/,200
http://www.keck.usc.edu/news/keck-school-ranks-31st-in-research-in-u-s-news-world-reports-2016-best-graduate-schools-rankings/,200
http://www.keck.usc.edu/wp-content/uploads/2016/02/Schaff-web-180x138.jpg,200
http://www.keck.usc.edu/giving/,200
http://www.keck.usc.edu/news/keck-school-of-medicine-of-usc-establishes-usc-alzheimers-therapeutic-research-institute/,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport02-jun2008.pdf,200
http://www.keck.usc.edu/2015/10/,200
http://www.keck.usc.edu/wp-content/plugins/wp-google-search/wgs.css?ver=4.3.2,200
http://www.keck.usc.edu/wp-content/themes/Avada/style.css?ver=4.3.2,200
http://www.keck.usc.edu/category/news/pediatrics/,200
http://keck.usc.edu/en/About/Administrative_Offices/Office_of_Alumni_Affairs.aspx,200
