URL,Size,OutLinks,ResultType
http://www.keck.usc.edu/anesthesiology/?cat=1,138889,99,text/html; charset=UTF-8
http://www.keck.usc.edu/research/research-resources/,136375,95,text/html; charset=UTF-8
http://keck.usc.edu/Education/Academic_Department_and_Divisions/Department_of_Medicine/Research_Initiatives.aspx,57473,191,text/html; charset=utf-8
http://keck.usc.edu/Faculty_and_Staff/Organizations.aspx,57522,202,text/html; charset=utf-8
http://www.keck.usc.edu/events/usc-stem-cell-seminar-2016-02-23/,140524,99,text/html; charset=UTF-8
http://keck.usc.edu/Research/Distinguished_Activities/Massry_Prize/Past_Laureates.aspx,79110,191,text/html; charset=utf-8
http://www.keck.usc.edu/surgery/wp-content/uploads/sites/57/2015/12/CT.pdf,172873,0,application/pdf
http://keck.usc.edu/Education/Academic_Department_and_Divisions/Department_of_Preventive_Medicine/Divisions/Biostatistics/Education_and_Training/MS_Biostatistics/Admissions.aspx,60754,195,text/html; charset=utf-8
http://keck.usc.edu/Education/Academic_Department_and_Divisions/Department_of_Neurology.aspx,60075,192,text/html; charset=utf-8
http://www.keck.usc.edu/events/the-unspeakable-series-a-conversation-on-illness-and-survival/,141947,98,text/html; charset=UTF-8
http://www.keck.usc.edu/news/,147686,93,text/html; charset=UTF-8
http://keck.usc.edu/About/Administrative_Offices/Office_of_Public_Relations_and_Marketing/News/Detail/2013__pr_marketing__fall__chla_sickle_cell,74093,192,text/html; charset=utf-8
http://www.keck.usc.edu/events/categories/neurosurgery/,129257,74,text/html; charset=UTF-8
http://www.keck.usc.edu/anesthesiology/research/basic-science-research/,148039,100,text/html; charset=UTF-8
http://keck.usc.edu/About/Administrative_Offices/Office_of_Public_Relations_and_Marketing/News/Detail/archive__offices__alumni_affairs__alumni_spotlight_stories__alumni_spotlight_-_michael_kennedy_-_66,75761,196,text/html; charset=utf-8
http://keck.usc.edu/About/Administrative_Offices/Lawson_Project/Training_Guides.aspx,57910,187,text/html; charset=utf-8
http://keck.usc.edu/Research/Clinical_Research/For_Keck_Investigators.aspx,58101,200,text/html; charset=utf-8
http://www.keck.usc.edu/news/the-road-to-a-cure-for-hivaids/,152452,155,text/html; charset=UTF-8
