URL,Status
http://www.keck.usc.edu/keck-medicine-and-chla-doctors-perform-rare-fetal-cardiac-procedure-for-first-time-in-southern-california/,200
http://www.keck.usc.edu/education/md-program/student-affairs/visiting-student-clerkships/domestic-applicants/,200
http://keck.usc.edu/Research/Office_of_Research_Advancement/Medical_Student_Research.aspx,200
http://www.keck.usc.edu/education/phd-programs/contact-us/,200
http://keck.usc.edu/Research/Centers_and_Programs/Research_Center_For_Alcoholic_Liver_and_Pancreatic_Disease/Education/Lee_Summer_Fellowship.aspx,200
http://www.keck.usc.edu/wp-content/uploads/2015/04/Agenda-3-22-12.pdf,200
http://keck.usc.edu/en/About/Administrative_Offices/~/link.aspx?_id=F65B3256FE1F4FDA9A605EA0834F26DB&_z=z,200
http://keck.usc.edu/Research/Office_of_Research_Advancement/Research_Administration/KSOM_Research_Policies.aspx,200
http://keck.usc.edu/en/About/Administrative_Offices/Office_of_Alumni_Affairs/Get_Involved.aspx,200
http://keck.usc.edu/layouts/ksom/peoplesearch.aspx?department=77&page=0,200
http://www.keck.usc.edu/events/l-a-live-international-robotic-and-open-live-surgery-pre-aua-symposium/,200
http://www.keck.usc.edu/wp-json/oembed/1.0/embed?format=xml&url=http%3A%2F%2Fwww.keck.usc.edu%2Fexpanding-the-mind%2F,200
http://www.keck.usc.edu/?p=4011,301
http://www.keck.usc.edu/wp-json/oembed/1.0/embed?format=xml&url=http%3A%2F%2Fwww.keck.usc.edu%2Fusc-eye-institute-researchers-discover-a-way-to-improve-image-sharpness-for-blind-people-with-retinal-implants%2F,200
http://www.keck.usc.edu/anesthesiology/faculty/Judith-Anne-Franco/,200
http://keck.usc.edu/About/Administrative_Offices/Office_of_Development/Donation_Landing_Pages/WCC_Donation_Landing_Page.aspx,200
http://www.keck.usc.edu/events-2/?ajaxCalendar=1&mo=2&pno=8&yr=2016,200
http://www.keck.usc.edu/wp-json/oembed/1.0/embed?format=xml&url=http%3A%2F%2Fwww.keck.usc.edu%2Fusc-stem-cell-mini-symposium-introduces-next-generation-researchers%2F,200
http://www.keck.usc.edu/?p=4007,301
http://www.keck.usc.edu/otolaryngology/wp-content/plugins/LayerSlider/static/css/layerslider.css?ver=5.2.1,200
http://www.keck.usc.edu/radiation-oncology/wp-content/plugins/download-manager/font-awesome/css/font-awesome.min.css?ver=4.4.2,200
http://www.keck.usc.edu/anesthesiology/wp-content/plugins/download-manager/bootstrap/css/bootstrap.css?ver=4.4.2,200
http://www.keck.usc.edu/research/research-training-education/graduate-research-education/feed/,200
http://www.keck.usc.edu/anesthesiology/faculty/Catherine-Ruth-Schulz/,200
http://keck.usc.edu/Education/Academic_Department_and_Divisions/Department_of_Pathology/Annual_Departmentmental_Events.aspx,200
http://www.keck.usc.edu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.keck.usc.edu%2Fforecasting-the-path-of-breast-cancer-in-a-patient%2F,200
http://www.keck.usc.edu/keck-events/?ajaxCalendar=1&mo=3&yr=2016,200
http://keck.usc.edu/Research/Research_Institutes/~/media/Images/Research/IGM/collaboratories.jpg?as=1&h=218&w=644,200
http://www.keck.usc.edu/dermatology/wp-content/plugins/download-manager/css/front.css?ver=4.4.2,200
http://www.keck.usc.edu/education/phd-programs/programs/feed/,200
http://www.keck.usc.edu/news/gift-establishes-fellowship-for-global-medicine/,200
http://www.keck.usc.edu/global-biotechnology-program/wp-content/themes/Avada-Child-Theme/style.css?ver=4.4.2,200
http://www.keck.usc.edu/events/usc-stem-cell-seminar-2016-03-29/,200
http://keck.usc.edu/About/Administrative_Offices/Office_of_Administration.aspx,200
http://keck.usc.edu/About/Administrative_Offices/Office_of_Continuing_Education/Online_CME/Thyroid_2013.aspx,200
http://www.keck.usc.edu/wp-json/oembed/1.0/embed?format=xml&url=http%3A%2F%2Fwww.keck.usc.edu%2Feducation%2Fpostdoctoral-programs%2F,200
http://www.keck.usc.edu/usc-westside-center-for-diabetes-wins-1-25-million-grant-to-educate-type-1-diabetes-patients/,200
http://www.keck.usc.edu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.keck.usc.edu%2Fevents%2Fwebinar-the-blood-brain-barrier-and-alzheimers-disease%2F,200
http://www.keck.usc.edu/surgery/faculty/Zhao-Yi-Zhou/,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport12-aug2010.pdf,200
http://www.keck.usc.edu/urology/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.2.1,200
http://www.keck.usc.edu/events-2/?ajaxCalendar=1&mo=2&pno=7&yr=2016,200
http://www.keck.usc.edu/wp-json/oembed/1.0/embed?format=xml&url=http%3A%2F%2Fwww.keck.usc.edu%2Fevents%2Fthe-pulmonary-challenge-innovations-in-lung-development-stem-cells-and-regeneration%2F,200
http://keck.usc.edu/Research/Centers_and_Programs/Research_Center_For_Alcoholic_Liver_and_Pancreatic_Disease/Education.aspx,200
http://www.keck.usc.edu/events/usc-stem-cell-seminar-2016-04-05/,200
http://www.keck.usc.edu/surgerystage/training-education/surgical-skills-simulation-and-education-center/,410
http://www.keck.usc.edu/news/keck-school-ranks-31st-in-research-in-u-s-news-world-reports-2016-best-graduate-schools-rankings/,200
http://www.keck.usc.edu/wp-json/oembed/1.0/embed?format=xml&url=http%3A%2F%2Fwww.keck.usc.edu%2Feducation%2Fmd-program%2Fstudent-affairs%2Fvisiting-student-clerkships%2Finternational-applicants%2F,200
http://www.keck.usc.edu/keck-events/?ajaxCalendar=1&mo=2&yr=2016,200
http://www.keck.usc.edu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.keck.usc.edu%2Fnews%2Fdeans-scholar-gets-a-first-hand-look-into-ophthalmology-career%2F,404
http://www.keck.usc.edu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.keck.usc.edu%2Feducation%2Fmd-program%2Fdiversity-inclusion%2F,200
http://keck.usc.edu/en/About/Administrative_Offices.aspx,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2014/12/ResearchQuarterlyFall2014.pdf,200
http://www.keck.usc.edu/wp-json/oembed/1.0/embed?format=xml&url=http%3A%2F%2Fwww.keck.usc.edu%2Feducation%2Fstudent-services%2Fstudent-research-opportunities%2F,200
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport10-may2010.pdf,200
http://www.keck.usc.edu/news/deans-scholar-gets-a-first-hand-look-into-ophthalmology-career/,200
http://keck.usc.edu/Education/Academic_Department_and_Divisions/Department_of_Biochemistry_and_Molecular_Biology/Faculty.aspx,200
http://www.keck.usc.edu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.keck.usc.edu%2Fkeck-school-researchers-identify-differences-in-colorectal-cancer-risk-among-latino-subgroups%2F,200
http://keck.usc.edu/About/About_Keck/Health_Sciences_Campus/~/link.aspx?_id=52CB838A95264B529E59331A4D50CD95&_z=z,200
http://www.keck.usc.edu/locations/usc/,200
http://www.keck.usc.edu/locations/center-for-health-professions-chp-room-233d-health-sciences-campus/,200
http://www.keck.usc.edu/family-medicine/training-education/residency-program/,200
http://keck.usc.edu/Research/Office_of_Research_Advancement/Responsible_Conduct_of_Research_Course/Ethics_News_and_Notes.aspx,200
http://www.keck.usc.edu/education/student-services/student-life/feed/,200
http://www.keck.usc.edu/education/md-program/curriculum/humanities-economics-arts-and-the-law/,200
http://keck.usc.edu/layouts/ksom/peoplesearch.aspx?department=21&page=0,200
http://www.keck.usc.edu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.keck.usc.edu%2Fnew-app-could-help-predict-childs-asthma-attack%2F,200
http://www.keck.usc.edu/otolaryngology/about-otolaryngology-head-neck-surgery/awards-recognitions/,200
http://www.keck.usc.edu/dermatology/?feed=rss2,200
http://keck.usc.edu/Research/Office_of_Research_Advancement/Research_Administration.aspx,200
http://www.keck.usc.edu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.keck.usc.edu%2Feducation%2Fmd-program%2Fcontact-us%2F,200
http://www.keck.usc.edu/events-2/2016-03-25/?ajaxCalendar=1&mo=5&yr=2016,200
http://www.keck.usc.edu/surgery/faculty/Regina-Baker/,200
